soc1980_code,title,level,parent,division,major,minor,unit
11-18,"Excecutive, Administrative and Managerial Occupations",division,0000,11-18,NA,NA,NA
17-18,Natural Scientists and Mathematicians,division,0000,17-18,NA,NA,NA
19-21,"Social Scientist, Social Workers, Religious Workers, and Lawyers",division,0000,19-21,NA,NA,NA
22-25,"Teachers, Librarians, and Counselors",division,0000,22-25,NA,NA,NA
26-28,Health Diagnosing and Treating Practitioners,division,0000,26-28,NA,NA,NA
29-30,"Registered Nurses, Pharmacists, Dietitians, Therapists, and Physician's Assistants",division,0000,29-30,NA,NA,NA
32-34,"Writers, Artists, Entertainers, and Athletes",division,0000,32-34,NA,NA,NA
36-36,Health Technologists and Technicians,division,0000,36-36,NA,NA,NA
37-39,"Technologists and Technicians, Except Health",division,0000,37-39,NA,NA,NA
40-44,Marketing and Sales Occupations,division,0000,40-44,NA,NA,NA
45-47,"Administrative Support Occupations, Including Clerical",division,0000,45-47,NA,NA,NA
50-52,Service Occupations,division,0000,50-52,NA,NA,NA
55-58,"Agricultural, Forestry and Fishing Occupations",division,0000,55-58,NA,NA,NA
60-61,Mechanics and Repairers,division,0000,60-61,NA,NA,NA
63-65,Construction and Extractive Occupations,division,0000,63-65,NA,NA,NA
67-69,Precision Production Occupations,division,0000,67-69,NA,NA,NA
71-78,Production Working Occupations,division,0000,71-78,NA,NA,NA
81-83,Transportation and Material Moving Occupations,division,0000,81-83,NA,NA,NA
85-87,"Handlers, Equipment Cleaners, Helpers and Laborers",division,0000,85-87,NA,NA,NA
91-91,Military Occupations,division,0000,91-91,NA,NA,NA
99-99,Miscellaneous Occupations,division,0000,99-99,NA,NA,NA
11,"OFFICIALS AND ADMINISTRATORS,PUBLIC ADMINISTRATION",major,11-18,11-18,11,NA,NA
12-13,"OFFICIALS AND ADMINISTRATORS, OTHER",major,11-18,11-18,12-13,NA,NA
14,MANAGEMENT RELATED OCCUPATIONS,major,11-18,11-18,14,NA,NA
16,"ENGINEERS, SURVEYORS AND ARCHITECTS",major,11-18,11-18,16,NA,NA
17,"COMPUTER, MATHEMATICAL, AND OPERATIONS RESEARCH OCCUPATIONS",major,17-18,17-18,17,NA,NA
18,"NATURAL SCIENTISTS",major,17-18,17-18,18,NA,NA
19,SOCIAL SCIENTISTS AND URBAN PLANNERS,major,19-21,19-21,19,NA,NA
20,"SOCIAL, RECREATION, AND RELIGIOUS WORKERS",major,19-21,19-21,20,NA,NA
21,LAWYERS AND JUDGES,major,19-21,19-21,21,NA,NA
22,"TEACHERS; COLLEGE, UNIVERSITY AND OTHER POSTSECONDARY INSTITUTION",major,22-25,22-25,22,NA,NA
23,"TEACHERS, EXCEPT POSTSECONDARY INSTITUTION",major,22-25,22-25,23,NA,NA
